
timestamp_unix,tag,shipType,shipLpp,shipB,shipT,shipCb,knots,waveDegRelShipFrConventionR_LP,R_CTH,R_TOTAL
timestamp_unix,tag,shipType,shipLpp,shipB,shipT,shipCb,knots,waveDegRelShipFrConventionR_LP,R_CTH,R_TOTAL
timestamp_unix,tag,shipType,shipLpp,shipB,shipT,shipCb,knots,waveDegRelShipFrConventionR_LP,R_CTH,R_TOTAL
1761108402,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,10,180,0,0,265568
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,11,180,0,0,281479
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,12,180,0,0,297276
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,13,180,0,0,312963
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,14,180,0,0,328546
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,15,180,0,0,344030
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,16,180,0,0,359422
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,17,180,0,0,374730
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,18,180,0,0,389963
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,19,180,0,0,405131
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,20,180,0,0,420244
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,21,180,0,0,435315
1761108403,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,22,180,0,0,450358
timestamp_unix,tag,shipType,shipLpp,shipB,shipT,shipCb,knots,waveDegRelShipFrConventionR_LP,R_CTH,R_TOTAL
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,10,180,0,0,265568
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,11,180,0,0,281479
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,12,180,0,0,297276
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,13,180,0,0,312963
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,14,180,0,0,328546
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,15,180,0,0,344030
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,16,180,0,0,359422
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,17,180,0,0,374730
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,18,180,0,0,389963
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,19,180,0,0,405131
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,20,180,0,0,420244
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,21,180,0,0,435315
1761131667,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,22,180,0,0,450358
timestamp_unix,tag,shipType,shipLpp,shipB,shipT,shipCb,knots,waveDegRelShipFrConventionR_LP,R_CTH,R_TOTAL
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,10,180,0,0,265568
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,11,180,0,0,281479
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,12,180,0,0,297276
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,13,180,0,0,312963
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,14,180,0,0,328546
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,15,180,0,0,344030
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,16,180,0,0,359422
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,17,180,0,0,374730
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,18,180,0,0,389963
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,19,180,0,0,405131
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,20,180,0,0,420244
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,21,180,0,0,435315
1761131705,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,22,180,0,0,450358
timestamp_unix,tag,shipType,shipLpp,shipB,shipT,shipCb,knots,waveDegRelShipFrConventionR_LP,R_CTH,R_TOTAL
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,10,180,0,0,265568
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,11,180,0,0,281479
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,12,180,0,0,297276
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,13,180,0,0,312963
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,14,180,0,0,328546
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,15,180,0,0,344030
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,16,180,0,0,359422
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,17,180,0,0,374730
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,18,180,0,0,389963
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,19,180,0,0,405131
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,20,180,0,0,420244
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,21,180,0,0,435315
1761131743,getR_TOTAL_ONLY,4,185,32.26,9,0.651613,22,180,0,0,450358
