lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
6.1,116.0,-43.5,0,16,2025-02-01:00:00,0.00,0.00,0.00,0.00000,270.0,23.8,128.7,2.52,0.70,8.39,26
6.1,115.9,-52.6,0,16,2025-02-01:00:00,5.97,0.37,0.39,0.06502,236.2,15.0,82.4,2.99,0.74,8.39,26
5.9,115.6,-40.2,0,16,2025-02-01:00:00,21.57,1.35,1.43,0.06639,270.0,339.9,276.2,3.03,0.48,8.43,26
5.9,115.5,-37.9,0,16,2025-02-01:00:00,5.97,0.37,0.37,0.06233,270.0,327.2,181.8,3.48,0.52,8.47,26
5.9,115.4,-49.1,0,16,2025-02-01:00:00,5.97,0.37,0.37,0.06201,270.0,315.7,182.5,3.60,0.55,8.47,26
5.9,115.3,-45.6,0,16,2025-02-01:00:00,5.97,0.37,0.37,0.06175,270.0,306.7,206.9,3.96,0.74,8.47,26
5.9,115.2,-59.9,0,16,2025-02-01:06:00,5.97,0.37,0.37,0.06177,270.0,317.5,300.1,3.43,0.88,8.32,26
5.9,115.1,-71.7,0,16,2025-02-01:06:00,5.97,0.37,0.37,0.06187,270.0,314.2,277.0,3.46,0.91,8.38,26
5.9,115.0,-83.9,0,16,2025-02-01:06:00,5.97,0.37,0.37,0.06177,251.5,310.1,278.0,3.49,0.94,8.43,26
5.8,114.7,-119.6,0,16,2025-02-01:06:00,18.90,1.18,1.17,0.06211,251.5,304.9,181.8,3.00,0.98,8.45,26
5.7,114.4,-447.9,0,16,2025-02-01:09:00,18.90,1.18,1.17,0.06192,251.5,290.9,253.0,2.84,0.98,8.36,27
5.6,114.1,-1241.9,0,16,2025-02-01:09:00,18.90,1.18,1.17,0.06163,255.9,285.5,325.7,2.62,1.02,8.37,27
5.5,113.7,-1916.4,0,16,2025-02-01:12:00,24.65,1.54,1.51,0.06129,251.5,271.2,183.8,2.30,1.00,8.27,27
5.4,113.4,-1900.9,0,16,2025-02-01:12:00,18.91,1.18,1.16,0.06124,255.9,274.7,186.8,2.48,1.03,8.27,27
5.3,113.0,-1243.4,0,16,2025-02-01:12:00,24.65,1.54,1.51,0.06128,251.5,282.9,193.9,3.19,1.08,8.26,27
5.2,112.7,-130.9,0,16,2025-02-01:15:00,18.91,1.18,1.17,0.06162,251.5,291.9,197.4,3.19,1.02,8.25,27
5.1,112.4,-115.7,0,16,2025-02-01:15:00,18.92,1.18,1.17,0.06168,251.5,288.0,200.9,3.57,1.05,8.25,27
5.0,112.1,-104.2,0,16,2025-02-01:18:00,18.92,1.18,1.16,0.06136,251.5,237.5,199.7,2.48,0.99,8.25,27
4.9,111.8,-97.8,0,16,2025-02-01:18:00,18.92,1.18,1.16,0.06125,251.5,221.8,199.7,3.29,1.01,8.25,27
