lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
2.8,101.2,-36.4,0,16,2025-02-01:00:00,0.00,0.00,0.00,0.00000,180.0,163.8,244.5,4.23,0.07,3.63,27
2.7,101.2,-48.1,0,16,2025-02-01:00:00,6.00,0.38,0.37,0.06136,116.6,163.1,308.6,4.56,0.14,3.64,28
2.6,101.4,-52.3,0,16,2025-02-01:00:00,13.41,0.84,0.84,0.06268,116.6,178.5,136.3,3.64,0.31,3.65,27
2.5,101.6,-38.4,0,16,2025-02-01:00:00,13.41,0.84,0.84,0.06249,135.0,191.1,130.7,3.29,0.27,3.65,26
2.4,101.7,-39.2,0,16,2025-02-01:00:00,8.49,0.53,0.53,0.06213,135.0,190.5,133.2,3.36,0.26,3.60,26
2.3,101.8,-34.4,0,16,2025-02-01:06:00,8.49,0.53,0.53,0.06206,116.6,176.3,138.8,3.22,0.24,3.66,26
2.2,102.0,-38.1,0,16,2025-02-01:06:00,13.42,0.84,0.84,0.06244,135.0,193.8,131.6,3.15,0.25,3.43,26
2.1,102.1,-39.6,0,16,2025-02-01:06:00,8.49,0.53,0.53,0.06224,135.0,197.4,359.7,3.63,0.15,1.96,26
2.0,102.2,-45.4,0,16,2025-02-01:06:00,8.49,0.53,0.53,0.06233,123.7,200.0,227.7,4.12,0.05,0.49,26
1.8,102.5,-46.9,0,16,2025-02-01:09:00,21.64,1.35,1.36,0.06263,116.6,196.0,180.0,3.76,0.00,0.00,26
1.7,102.7,-42.4,0,16,2025-02-01:09:00,13.42,0.84,0.84,0.06264,135.0,189.4,182.6,3.33,0.04,0.55,26
1.6,102.8,-34.4,0,16,2025-02-01:09:00,8.49,0.53,0.53,0.06207,90.0,187.9,189.1,3.33,0.17,1.64,26
1.6,102.9,-41.9,0,16,2025-02-01:09:00,6.00,0.38,0.38,0.06381,90.0,187.5,190.0,3.08,0.20,1.64,26
1.6,103.0,-40.5,0,16,2025-02-01:09:00,6.00,0.38,0.38,0.06377,180.0,187.2,189.3,2.89,0.19,1.64,26
1.5,103.0,-42.7,0,16,2025-02-01:09:00,6.00,0.38,0.37,0.06088,116.6,188.3,191.2,3.32,0.21,2.74,26
1.4,103.2,-28.6,0,16,2025-02-01:12:00,13.42,0.84,0.84,0.06226,116.6,167.6,348.8,3.53,0.23,2.53,27
1.3,103.4,-18.4,1,16,2025-02-01:12:00,13.42,0.84,0.83,0.06201,108.4,168.6,231.8,3.80,0.26,2.84,27
1.2,103.7,-5.7,1,16,2025-02-01:12:00,18.98,1.19,1.18,0.06238,90.0,179.3,195.1,4.32,0.36,2.73,27
1.2,103.8,-25.2,0,16,2025-02-01:15:00,6.00,0.38,0.37,0.06233,90.0,128.4,197.6,1.90,0.30,2.63,28
1.2,103.9,-70.7,0,16,2025-02-01:15:00,6.00,0.38,0.37,0.06205,90.0,157.2,197.7,1.96,0.31,2.84,28
1.2,104.0,-57.1,0,16,2025-02-01:15:00,6.00,0.38,0.38,0.06270,90.0,178.7,197.8,2.41,0.33,3.00,28
1.2,104.1,-11.5,1,16,2025-02-01:15:00,6.00,0.38,0.38,0.06333,90.0,186.5,197.5,3.23,0.26,2.71,28
1.2,104.2,-37.6,0,16,2025-02-01:15:00,6.00,0.38,0.38,0.06398,76.0,192.2,201.1,4.23,0.25,3.47,27
1.3,104.6,-22.2,0,16,2025-02-01:18:00,24.75,1.55,1.68,0.06792,76.0,199.0,203.5,5.31,0.83,1.91,27
1.4,105.0,-42.4,0,16,2025-02-01:18:00,24.75,1.55,1.72,0.06959,76.0,192.0,199.1,5.59,0.87,4.75,27
1.5,105.4,-41.5,0,16,2025-02-01:21:00,24.75,1.55,1.73,0.07008,76.0,189.6,195.5,5.90,0.90,4.71,27
1.6,105.8,-53.7,0,16,2025-02-01:21:00,24.75,1.55,1.76,0.07115,71.6,187.1,194.8,6.44,0.85,4.44,27
1.7,106.1,-45.2,0,16,2025-02-01:21:00,18.98,1.19,1.39,0.07315,76.0,186.9,193.9,6.80,0.87,4.27,27
1.8,106.5,-63.1,0,16,2025-02-02:00:00,24.74,1.55,1.86,0.07522,76.0,175.7,191.9,7.28,1.04,4.58,26
1.9,106.9,-62.9,0,16,2025-02-02:03:00,24.74,1.55,1.90,0.07695,71.6,178.0,188.9,7.31,1.13,5.02,26
2.0,107.2,-70.3,0,16,2025-02-02:03:00,18.98,1.19,1.48,0.07785,71.5,176.8,186.5,7.37,1.13,5.02,27
2.1,107.5,-66.9,0,16,2025-02-02:03:00,18.98,1.19,1.47,0.07739,71.5,172.8,183.5,7.29,1.12,5.02,26
2.2,107.8,-60.0,0,16,2025-02-02:06:00,18.97,1.19,1.46,0.07707,71.5,170.2,253.0,7.44,1.12,5.14,26
2.3,108.1,-64.5,0,16,2025-02-02:06:00,18.97,1.19,1.47,0.07767,71.5,169.5,177.9,7.43,1.11,5.13,26
2.4,108.4,-51.7,0,16,2025-02-02:06:00,18.97,1.19,1.43,0.07553,71.5,170.8,176.4,6.83,1.03,5.17,26
2.5,108.7,-47.6,0,16,2025-02-02:09:00,18.97,1.19,1.38,0.07287,63.4,170.4,176.5,6.94,0.91,4.61,26
2.6,108.9,-30.1,0,16,2025-02-02:09:00,13.41,0.84,1.01,0.07525,90.0,172.3,34.4,7.12,0.88,4.59,26
2.6,109.0,-33.1,0,16,2025-02-02:09:00,6.00,0.37,0.44,0.07352,75.9,172.7,34.6,7.08,0.83,4.59,26
