lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
-24.4,-46.7,-26.2,0,16,2025-02-01:00:00,0.00,0.00,0.00,0.00000,137.7,301.1,303.6,3.00,0.93,7.82,25
-24.5,-46.6,-37.2,0,16,2025-02-01:00:00,8.12,0.51,0.57,0.07034,129.6,297.1,299.1,3.24,0.98,7.73,26
-24.8,-46.2,-62.8,0,16,2025-02-01:00:00,28.30,1.77,2.01,0.07095,129.7,300.2,288.7,3.11,1.11,7.84,25
-25.1,-45.8,-98.6,0,16,2025-02-01:06:00,28.26,1.77,1.96,0.06926,137.9,283.8,279.2,4.24,1.20,7.82,27
-25.2,-45.7,-106.6,0,16,2025-02-01:06:00,8.10,0.51,0.56,0.06905,129.8,288.4,277.0,4.27,1.22,7.86,27
-25.5,-45.3,-146.8,0,16,2025-02-01:09:00,28.20,1.76,2.00,0.07087,138.0,260.6,269.7,5.91,1.35,7.87,26
-25.6,-45.2,-164.6,0,16,2025-02-01:09:00,8.09,0.51,0.58,0.07197,138.0,263.1,268.3,6.11,1.37,7.87,26
-25.7,-45.1,-787.8,0,16,2025-02-01:09:00,8.08,0.51,0.59,0.07288,138.0,265.4,266.9,6.30,1.40,7.87,26
-25.8,-45.0,-1454.6,0,16,2025-02-01:09:00,8.08,0.51,0.60,0.07379,138.0,267.5,265.5,6.48,1.42,7.85,26
-25.9,-44.9,-1772.2,0,16,2025-02-01:09:00,8.08,0.50,0.60,0.07440,129.9,269.2,264.1,6.56,1.44,7.86,26
-26.2,-44.5,-2295.8,0,16,2025-02-01:12:00,28.11,1.76,1.93,0.06859,138.1,226.9,256.0,5.62,1.47,7.82,26
-26.3,-44.4,-2316.4,0,16,2025-02-01:12:00,8.07,0.50,0.54,0.06678,138.2,225.9,254.2,5.55,1.48,7.82,26
-26.4,-44.3,-2408.8,0,16,2025-02-01:12:00,8.06,0.50,0.54,0.06645,138.2,225.4,252.5,5.44,1.49,7.82,26
-26.5,-44.2,-2467.8,0,16,2025-02-01:12:00,8.06,0.50,0.53,0.06619,130.1,224.5,250.7,5.39,1.50,7.82,26
-26.8,-43.8,-2598.1,0,16,2025-02-01:15:00,28.02,1.75,1.78,0.06354,126.8,186.4,241.1,4.88,1.44,7.78,26
-27.0,-43.5,-2570.4,0,16,2025-02-01:15:00,20.06,1.25,1.29,0.06446,126.9,182.2,235.2,5.40,1.47,7.73,26
-27.2,-43.2,-2460.2,0,16,2025-02-01:18:00,20.03,1.25,1.25,0.06240,126.9,186.9,227.3,4.09,1.46,7.61,26
-27.4,-42.9,-2467.1,0,16,2025-02-01:18:00,20.01,1.25,1.26,0.06286,119.4,180.5,221.2,4.96,1.51,7.54,26
-27.5,-42.7,-2604.1,0,16,2025-02-01:18:00,12.23,0.76,0.79,0.06472,119.5,176.8,217.4,5.44,1.54,7.49,26
-27.6,-42.5,-2845.0,0,16,2025-02-01:21:00,12.22,0.76,0.79,0.06478,119.5,191.8,216.3,5.20,1.51,7.36,26
-27.7,-42.3,-2933.1,0,16,2025-02-01:21:00,12.21,0.76,0.80,0.06515,119.5,185.2,214.0,5.26,1.53,7.37,26
-27.8,-42.1,-3001.8,0,16,2025-02-01:21:00,12.21,0.76,0.80,0.06516,119.5,179.6,211.5,5.37,1.54,7.32,26
-27.9,-41.9,-3043.8,0,16,2025-02-01:21:00,12.20,0.76,0.80,0.06555,119.6,175.6,209.2,5.50,1.55,7.32,26
-28.0,-41.7,-3092.6,0,16,2025-02-02:00:00,12.19,0.76,0.79,0.06460,119.6,173.2,208.1,4.93,1.56,7.22,26
