lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
-33.5,18.2,-53.4,0,16,2025-02-01:00:00,0.00,0.00,0.00,0.00000,270.0,13.0,35.8,6.42,2.05,10.85,18
-33.5,18.1,-62.9,0,16,2025-02-01:00:00,5.01,0.31,0.36,0.07128,270.0,12.5,35.8,6.67,2.05,10.85,18
-33.5,18.0,-92.3,0,16,2025-02-01:00:00,5.01,0.31,0.36,0.07265,270.0,12.0,35.8,6.92,2.05,10.85,18
-33.5,17.9,-160.2,0,16,2025-02-01:00:00,5.01,0.31,0.37,0.07436,270.0,11.6,34.8,7.10,2.08,10.81,18
-33.5,17.8,-181.2,0,16,2025-02-01:00:00,5.01,0.31,0.38,0.07582,270.0,11.2,33.8,7.27,2.11,10.77,18
-33.5,17.7,-200.2,0,16,2025-02-01:00:00,5.01,0.31,0.39,0.07711,270.0,10.8,32.8,7.40,2.14,10.74,19
-33.5,17.6,-251.0,0,16,2025-02-01:00:00,5.01,0.31,0.39,0.07804,286.6,10.5,31.8,7.50,2.18,10.74,19
-33.4,17.2,-580.1,0,16,2025-02-01:06:00,20.92,1.31,1.60,0.07662,286.6,8.4,27.4,7.21,2.11,10.44,20
-33.3,16.8,-953.4,0,16,2025-02-01:06:00,20.94,1.31,1.58,0.07531,286.5,11.1,25.7,7.35,2.14,10.34,20
-33.2,16.4,-2241.5,0,16,2025-02-01:06:00,20.96,1.31,1.61,0.07692,291.6,13.6,24.9,7.60,2.15,10.34,20
-33.1,16.1,-2507.1,0,16,2025-02-01:09:00,16.23,1.01,1.33,0.08182,291.6,28.0,24.9,8.27,2.10,10.13,20
-33.0,15.8,-3036.7,0,16,2025-02-01:09:00,16.25,1.02,1.39,0.08546,286.5,29.3,24.5,8.45,2.12,10.13,19
-32.9,15.4,-3240.1,0,16,2025-02-01:12:00,21.03,1.31,1.71,0.08137,286.5,29.4,24.6,6.90,1.99,9.90,19
-32.8,15.0,-3367.8,0,16,2025-02-01:12:00,21.05,1.32,1.54,0.07309,286.4,27.3,23.7,6.76,1.97,9.85,19
-32.7,14.6,-3510.1,0,16,2025-02-01:12:00,21.07,1.32,1.51,0.07185,286.4,26.0,23.1,6.67,1.96,9.85,19
-32.6,14.2,-3640.9,0,16,2025-02-01:15:00,21.09,1.32,1.52,0.07203,291.5,30.2,23.3,6.75,1.87,9.61,19
-32.5,13.9,-3612.8,0,16,2025-02-01:15:00,16.33,1.02,1.17,0.07156,286.4,27.9,22.5,6.73,1.86,9.71,19
-32.4,13.5,-3278.4,0,16,2025-02-01:18:00,21.14,1.32,1.50,0.07086,286.4,23.9,23.3,6.24,1.83,9.46,20
-32.3,13.1,-3543.6,0,16,2025-02-01:18:00,21.16,1.32,1.47,0.06963,286.4,21.8,22.6,6.28,1.83,9.45,20
-32.2,12.7,-3869.9,0,16,2025-02-01:21:00,21.18,1.32,1.46,0.06893,286.3,18.0,23.8,5.80,1.89,9.49,20
-32.1,12.3,-4038.3,0,16,2025-02-01:21:00,21.20,1.33,1.44,0.06793,286.3,17.6,23.1,5.93,1.87,9.50,20
-32.0,11.9,-4168.9,0,16,2025-02-01:21:00,21.22,1.33,1.45,0.06811,286.3,16.6,22.4,5.99,1.86,9.51,20
-31.9,11.5,-4365.8,0,16,2025-02-02:00:00,21.24,1.33,1.51,0.07127,286.3,13.6,24.1,7.03,1.94,9.89,21
-31.8,11.1,-4724.3,0,16,2025-02-02:00:00,21.27,1.33,1.54,0.07242,286.3,11.7,23.6,6.88,1.92,9.98,21
-31.7,10.7,-4890.9,0,16,2025-02-02:03:00,21.29,1.33,1.53,0.07206,286.3,0.7,24.7,7.06,2.00,10.62,21
-31.6,10.3,-4868.6,0,16,2025-02-02:03:00,21.31,1.33,1.54,0.07224,286.2,2.0,24.6,6.84,1.97,10.61,21
-31.5,9.9,-4905.7,0,16,2025-02-02:06:00,21.33,1.33,1.48,0.06924,270.0,356.6,25.7,6.13,1.99,10.95,20
-31.5,9.8,-4898.6,0,16,2025-02-02:06:00,5.12,0.32,0.35,0.06831,286.2,357.4,25.9,6.06,1.99,10.96,20
-31.4,9.4,-4932.4,0,16,2025-02-02:06:00,21.35,1.33,1.44,0.06735,286.2,359.4,25.7,5.79,1.96,10.99,20
-31.3,9.0,-4920.8,0,16,2025-02-02:09:00,21.37,1.34,1.40,0.06538,286.2,355.6,26.9,4.73,1.95,11.17,20
-31.2,8.6,-4937.4,0,16,2025-02-02:09:00,21.39,1.34,1.35,0.06334,286.2,356.8,26.6,4.60,1.92,11.15,20
-31.1,8.2,-4936.8,0,16,2025-02-02:12:00,21.41,1.34,1.35,0.06286,286.2,344.2,27.4,3.69,1.90,11.29,19
-31.0,7.8,-5105.8,0,16,2025-02-02:12:00,21.43,1.34,1.33,0.06213,286.1,340.1,27.1,3.61,1.87,11.26,19
-30.9,7.4,-5205.8,0,16,2025-02-02:12:00,21.45,1.34,1.33,0.06211,286.1,342.9,26.5,3.60,1.85,11.25,20
-30.8,7.0,-5068.0,0,16,2025-02-02:15:00,21.47,1.34,1.34,0.06236,286.1,355.7,27.1,2.70,1.83,11.38,20
-30.7,6.6,-5229.8,0,16,2025-02-02:15:00,21.50,1.34,1.34,0.06253,291.1,358.4,26.7,2.67,1.81,11.35,20
-30.6,6.3,-5200.9,0,16,2025-02-02:18:00,16.62,1.04,1.04,0.06288,291.1,23.4,27.0,2.92,1.80,11.37,20
-30.5,6.0,-5176.4,0,16,2025-02-02:18:00,16.63,1.04,1.05,0.06339,291.1,25.7,26.6,2.82,1.78,11.37,20
-30.4,5.7,-5112.6,0,16,2025-02-02:18:00,16.65,1.04,1.06,0.06358,291.0,27.0,26.2,2.76,1.76,11.34,21
-30.3,5.4,-5132.2,0,16,2025-02-02:21:00,16.66,1.04,1.07,0.06420,291.0,38.3,26.3,4.16,1.77,11.43,21
-30.2,5.1,-4877.1,0,16,2025-02-02:21:00,16.68,1.04,1.08,0.06484,291.0,38.9,25.9,3.97,1.76,11.42,21
-30.1,4.8,-5090.9,0,16,2025-02-02:21:00,16.69,1.04,1.08,0.06482,286.0,37.6,25.4,3.74,1.74,11.40,21
-30.0,4.4,-4770.3,0,16,2025-02-03:00:00,21.64,1.35,1.42,0.06583,291.0,30.6,25.8,5.02,1.80,11.62,21
-29.9,4.1,-5030.2,0,16,2025-02-03:00:00,16.72,1.05,1.10,0.06567,290.9,30.1,25.2,4.79,1.79,11.61,21
-29.8,3.8,-4913.7,0,16,2025-02-03:03:00,16.74,1.05,1.09,0.06489,286.0,22.4,25.2,4.85,1.79,11.66,21
-29.7,3.4,-4552.0,0,16,2025-02-03:03:00,21.70,1.36,1.41,0.06494,285.9,22.6,24.7,4.71,1.77,11.65,21
-29.6,3.0,-1656.4,0,16,2025-02-03:03:00,21.72,1.36,1.40,0.06443,285.9,22.4,24.1,4.50,1.75,11.61,21
