lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
39.1,119.4,-22.2,0,16,2025-02-01:00:00,0.00,0.00,0.00,0.00000,133.8,113.4,126.5,5.95,0.54,3.01,0
38.8,119.8,-22.9,0,16,2025-02-01:00:00,25.95,1.62,1.73,0.06680,122.6,113.8,139.2,6.18,0.59,3.49,0
38.7,120.0,-24.0,0,16,2025-02-01:00:00,11.12,0.70,0.73,0.06607,113.0,113.7,146.8,6.04,0.59,3.57,0
38.6,120.3,-24.2,0,16,2025-02-01:06:00,15.29,0.96,1.01,0.06619,113.0,118.3,134.5,6.44,0.62,3.85,0
38.5,120.6,-33.8,0,16,2025-02-01:06:00,15.31,0.96,1.03,0.06699,113.0,121.1,135.1,6.36,0.63,3.81,1
38.4,120.9,-32.0,0,16,2025-02-01:06:00,15.33,0.96,1.02,0.06642,130.3,125.2,136.5,6.22,0.60,3.78,1
38.2,121.2,-30.8,0,16,2025-02-01:09:00,18.55,1.16,1.22,0.06581,122.4,123.1,135.1,7.41,0.74,4.00,1
38.1,121.4,-30.6,0,16,2025-02-01:09:00,11.19,0.70,0.80,0.07190,122.4,124.4,137.5,7.01,0.69,3.80,1
38.0,121.6,-33.2,0,16,2025-02-01:09:00,11.20,0.70,0.77,0.06918,112.8,126.3,142.3,6.73,0.69,3.87,1
37.9,121.9,-35.4,0,16,2025-02-01:09:00,15.42,0.96,1.04,0.06760,112.8,128.5,147.4,6.44,0.65,3.98,1
37.8,122.2,-28.8,0,16,2025-02-01:12:00,15.44,0.96,1.13,0.07289,122.2,129.9,143.0,7.64,0.75,4.15,1
37.7,122.4,-24.0,0,16,2025-02-01:12:00,11.23,0.70,0.83,0.07382,122.2,129.5,143.7,7.19,0.68,3.54,1
37.6,122.6,-25.2,0,16,2025-02-01:12:00,11.24,0.70,0.80,0.07121,122.2,130.5,145.0,7.12,0.66,3.16,1
37.5,122.8,-30.0,0,16,2025-02-01:12:00,11.26,0.70,0.80,0.07097,180.0,131.3,148.0,7.05,0.69,3.37,2
37.4,122.8,-39.5,0,16,2025-02-01:15:00,6.00,0.38,0.46,0.07700,180.0,135.4,145.5,8.24,0.81,4.04,2
37.3,122.8,-41.5,0,16,2025-02-01:15:00,6.00,0.38,0.49,0.08102,194.9,137.0,149.6,8.04,0.80,4.04,2
37.0,122.7,-36.1,0,16,2025-02-01:15:00,18.64,1.16,1.41,0.07562,180.0,143.5,158.6,6.85,0.71,3.97,2
36.9,122.7,-30.6,0,16,2025-02-01:15:00,6.00,0.38,0.42,0.06928,180.0,145.0,161.7,6.65,0.70,4.39,2
36.8,122.7,-24.9,0,16,2025-02-01:15:00,6.00,0.38,0.41,0.06814,180.0,146.7,164.2,6.39,0.70,4.39,2
36.7,122.7,-22.5,0,16,2025-02-01:15:00,6.00,0.38,0.40,0.06743,180.0,148.3,167.4,6.22,0.70,4.82,2
36.6,122.7,-22.0,0,16,2025-02-01:18:00,6.00,0.38,0.43,0.07146,180.0,145.1,159.5,7.55,0.86,3.71,3
36.5,122.7,-22.0,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07603,180.0,146.6,161.6,7.61,0.85,3.60,3
36.4,122.7,-28.4,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07619,180.0,148.1,162.9,7.60,0.88,3.60,3
36.3,122.7,-50.2,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07605,180.0,149.6,164.1,7.59,0.91,3.60,3
36.2,122.7,-61.3,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07597,180.0,151.1,165.5,7.59,0.92,3.72,3
36.1,122.7,-67.8,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07596,180.0,152.5,167.0,7.60,0.92,3.98,4
36.0,122.7,-64.4,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07633,180.0,153.6,168.3,7.69,0.94,4.24,4
35.9,122.7,-60.1,0,16,2025-02-01:18:00,6.00,0.38,0.46,0.07712,180.0,154.5,169.4,7.80,0.96,4.25,4
35.8,122.7,-64.2,0,16,2025-02-01:21:00,6.00,0.38,0.47,0.07800,168.5,155.3,170.4,7.91,0.98,4.25,4
35.4,122.8,-69.6,0,16,2025-02-01:21:00,24.51,1.53,2.07,0.08461,180.0,152.5,168.4,8.99,1.28,4.69,5
35.3,122.8,-70.8,0,16,2025-02-01:21:00,6.00,0.38,0.52,0.08691,180.0,152.9,169.4,8.84,1.29,4.69,5
35.2,122.8,-69.9,0,16,2025-02-01:21:00,6.00,0.38,0.51,0.08575,180.0,153.4,170.4,8.72,1.29,4.74,5
