lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
31.5,122.8,-28.0,0,16,2025-02-01:00:00,0.00,0.00,0.00,0.00000,348.0,188.6,204.7,10.01,1.98,7.55,9
31.9,122.7,-30.0,0,16,2025-02-01:00:00,24.55,1.53,2.52,0.10268,348.1,185.9,207.6,9.05,1.86,7.53,8
32.3,122.6,-28.4,0,16,2025-02-01:06:00,24.55,1.53,2.22,0.09053,0.0,181.8,216.5,6.33,1.54,7.34,7
32.4,122.6,-34.1,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07904,0.0,181.6,217.5,6.25,1.54,7.30,7
32.5,122.6,-43.1,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07877,0.0,181.9,218.4,6.18,1.53,7.21,7
32.6,122.6,-31.6,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07866,0.0,182.2,218.9,6.21,1.52,7.09,7
32.7,122.6,-26.8,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07868,0.0,182.4,219.3,6.21,1.51,6.97,7
32.8,122.6,-25.9,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07873,0.0,182.4,219.5,6.24,1.50,6.91,7
32.9,122.6,-24.5,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07885,0.0,182.5,219.8,6.28,1.49,6.91,7
33.0,122.6,-29.6,0,16,2025-02-01:06:00,6.00,0.38,0.47,0.07896,348.2,182.5,220.2,6.30,1.48,6.91,7
33.4,122.5,-40.1,0,16,2025-02-01:09:00,24.54,1.53,2.06,0.08382,0.0,181.7,214.3,7.56,1.38,6.51,6
33.5,122.5,-36.0,0,16,2025-02-01:09:00,6.00,0.38,0.53,0.08855,348.3,181.9,214.2,7.48,1.37,6.51,6
33.9,122.4,-39.8,0,16,2025-02-01:12:00,24.53,1.53,2.03,0.08260,0.0,179.1,213.8,6.04,1.19,6.11,6
34.0,122.4,-38.1,0,16,2025-02-01:12:00,6.00,0.38,0.47,0.07804,0.0,178.1,213.6,5.97,1.17,6.03,6
34.1,122.4,-43.5,0,16,2025-02-01:12:00,6.00,0.38,0.47,0.07772,0.0,176.9,213.2,5.93,1.15,6.02,6
34.2,122.4,-50.2,0,16,2025-02-01:12:00,6.00,0.38,0.46,0.07743,0.0,175.7,213.1,5.88,1.13,5.98,6
34.3,122.4,-57.1,0,16,2025-02-01:12:00,6.00,0.38,0.46,0.07717,0.0,174.5,213.0,5.86,1.11,5.94,5
34.4,122.4,-56.0,0,16,2025-02-01:12:00,6.00,0.38,0.46,0.07697,0.0,173.2,212.6,5.85,1.09,5.88,5
34.5,122.4,-47.7,0,16,2025-02-01:12:00,6.00,0.38,0.46,0.07676,0.0,171.8,212.2,5.83,1.07,5.75,5
34.6,122.4,-53.5,0,16,2025-02-01:12:00,6.00,0.38,0.46,0.07659,11.6,170.3,211.7,5.84,1.04,5.75,5
35.0,122.5,-64.1,0,16,2025-02-01:15:00,24.52,1.53,1.89,0.07697,0.0,161.6,197.1,6.79,0.99,5.15,4
35.1,122.5,-68.1,0,16,2025-02-01:15:00,6.00,0.38,0.48,0.07917,0.0,160.0,195.6,6.75,0.97,5.15,4
35.2,122.5,-64.6,0,16,2025-02-01:15:00,6.00,0.38,0.47,0.07868,0.0,158.5,194.1,6.72,0.96,5.15,4
35.3,122.5,-63.3,0,16,2025-02-01:15:00,6.00,0.38,0.47,0.07826,0.0,156.9,192.6,6.70,0.94,5.04,4
35.4,122.5,-56.1,0,16,2025-02-01:15:00,6.00,0.38,0.47,0.07798,11.5,155.4,191.1,6.70,0.92,4.80,4
35.8,122.6,-60.2,0,16,2025-02-01:18:00,24.51,1.53,2.05,0.08381,11.4,155.2,171.0,7.87,0.97,4.27,4
36.2,122.7,-61.3,0,16,2025-02-01:18:00,24.50,1.53,2.10,0.08565,11.3,151.1,165.5,7.59,0.92,3.72,3
36.6,122.8,-24.0,0,16,2025-02-01:21:00,24.50,1.53,2.31,0.09425,0.0,145.1,155.0,9.89,1.24,4.34,2
36.7,122.8,-22.0,0,16,2025-02-01:21:00,6.00,0.38,0.61,0.10088,0.0,145.2,154.5,9.87,1.24,4.48,2
36.8,122.8,-24.0,0,16,2025-02-01:21:00,6.00,0.38,0.61,0.10093,0.0,145.8,154.0,9.79,1.22,4.55,2
36.9,122.8,-25.1,0,16,2025-02-01:21:00,6.00,0.38,0.61,0.10106,0.0,146.9,153.5,9.65,1.22,4.55,2
37.0,122.8,-27.7,0,16,2025-02-01:21:00,6.00,0.38,0.61,0.10125,0.0,148.2,152.9,9.63,1.21,4.60,2
37.1,122.8,-30.0,0,16,2025-02-02:00:00,6.00,0.38,0.62,0.10252,0.0,163.6,163.2,10.49,1.58,5.21,1
37.2,122.8,-34.0,0,16,2025-02-02:00:00,6.00,0.38,0.62,0.10375,0.0,164.4,163.9,10.49,1.60,5.36,1
37.3,122.8,-41.5,0,16,2025-02-02:00:00,6.00,0.38,0.62,0.10389,0.0,165.4,164.9,10.58,1.59,5.44,1
37.4,122.8,-39.5,0,16,2025-02-02:00:00,6.00,0.38,0.62,0.10403,0.0,166.3,166.3,10.75,1.57,5.44,1
37.5,122.8,-30.0,0,16,2025-02-02:00:00,6.00,0.38,0.63,0.10417,302.3,167.2,167.3,10.73,1.56,5.44,1
37.6,122.6,-25.2,0,16,2025-02-02:00:00,11.26,0.70,1.12,0.09922,302.3,169.0,169.6,10.37,1.42,5.42,0
37.7,122.4,-24.0,0,16,2025-02-02:03:00,11.24,0.70,1.11,0.09896,293.0,171.1,177.1,9.89,1.52,5.87,-1
37.8,122.1,-27.5,0,16,2025-02-02:03:00,15.46,0.97,1.50,0.09709,293.0,174.2,83.2,9.55,1.53,5.74,-1
37.9,121.8,-31.9,0,16,2025-02-02:03:00,15.44,0.96,1.45,0.09365,293.0,177.3,231.5,8.59,1.40,5.61,-1
38.0,121.5,-29.1,0,16,2025-02-02:06:00,15.42,0.96,1.29,0.08337,302.5,178.8,188.5,7.14,1.23,5.20,-1
38.1,121.3,-31.9,0,16,2025-02-02:06:00,11.20,0.70,0.84,0.07472,313.8,181.1,190.5,6.05,1.01,4.80,-1
38.4,120.9,-32.0,0,16,2025-02-02:06:00,26.08,1.63,1.77,0.06793,293.1,183.7,327.3,3.88,0.76,4.78,-2
38.5,120.6,-33.8,0,16,2025-02-02:09:00,15.33,0.96,1.04,0.06778,293.2,163.1,122.8,5.49,0.91,4.81,-2
38.6,120.3,-24.2,0,16,2025-02-02:09:00,15.31,0.96,1.39,0.09072,293.2,156.7,152.0,9.36,1.46,5.37,-2
38.7,120.0,-24.0,0,16,2025-02-02:09:00,15.29,0.96,1.51,0.09882,302.7,154.1,151.2,9.81,1.59,5.35,-3
